"box";"file_no";"vid_row_id";"date_";"vid_action";"datetime_vid";"vid_dur";"vid_comment_txt";"vid_act_se"
"66";"006";"n1";66;2017-05-18;"IN";2017-05-18 10:54:46.161;7740;NA;0
"67";"006";"n1";67;2017-05-18;"OUT";2017-05-18 10:54:56.111;7740;NA;0
"68";"006";"n1";68;2017-05-18;"IN";2017-05-18 10:56:12.680;7740;NA;0
"69";"006";"n1";69;2017-05-18;"IN";2017-05-18 10:56:55.520;7740;NA;0
"70";"006";"n1";70;2017-05-18;"OUT";2017-05-18 10:56:57.441;7740;NA;0
"71";"006";"n1";71;2017-05-18;"OUT";2017-05-18 10:57:14.351;7740;NA;0
"72";"006";"n1";72;2017-05-18;"IN";2017-05-18 10:58:07.641;7740;NA;0
"73";"006";"n1";73;2017-05-18;"IN";2017-05-18 10:58:29.117;7740;NA;0
"74";"006";"n1";74;2017-05-18;"OUT";2017-05-18 10:58:32.227;7740;NA;0
"75";"006";"n1";75;2017-05-18;"OUT";2017-05-18 10:58:40.158;7740;NA;0
"76";"006";"n1";76;2017-05-18;"IN";2017-05-18 10:59:35.839;7740;NA;0
"77";"006";"n1";77;2017-05-18;"OUT";2017-05-18 10:59:50.961;7740;NA;0
"78";"006";"n1";78;2017-05-18;"IN";2017-05-18 11:00:16.157;7740;NA;0
"79";"006";"n1";79;2017-05-18;"OUT";2017-05-18 11:00:30.677;7740;NA;0
"80";"006";"n1";80;2017-05-18;"IN";2017-05-18 11:01:54.437;7740;NA;0
"81";"006";"n1";81;2017-05-18;"OUT";2017-05-18 11:02:10.507;7740;NA;0
"82";"006";"n1";82;2017-05-18;"IN";2017-05-18 11:02:58.520;7740;NA;0
"83";"006";"n1";83;2017-05-18;"OUT";2017-05-18 11:03:40.158;7740;NA;0
"84";"006";"n1";84;2017-05-18;"IN";2017-05-18 11:04:40.640;7740;NA;0
"85";"006";"n1";85;2017-05-18;"OUT";2017-05-18 11:04:45.536;7740;NA;0
"86";"006";"n1";86;2017-05-18;"IN";2017-05-18 11:06:01.253;7740;NA;0
"87";"006";"n1";87;2017-05-18;"OUT";2017-05-18 11:06:09.437;7740;NA;0
"88";"006";"n1";88;2017-05-18;"IN";2017-05-18 11:08:26.355;7740;NA;0
"89";"006";"n1";89;2017-05-18;"OUT";2017-05-18 11:08:39.915;7740;NA;0
"90";"006";"n1";90;2017-05-18;"IN";2017-05-18 11:11:01.878;7740;NA;0
"91";"006";"n1";91;2017-05-18;"OUT";2017-05-18 11:11:30.559;7740;NA;0
